id,initiator_name,pja,committee,party,initiator_type,wins,avg_result,wins_per,result_1,result_2,result_3,result_4,result_5,result_6,result_7,result_8
5c77c6d8fed91f583dd7a8c6,Шишкоедов Василий Михайлович,"[2, 8]",1,1,Депутат Государственной Думы,9,2,0.007311129163282,983,45,78,40,30,46,0,9
5c77c6d8fed91f583dd7a8c7,Шойгу Лариса Кужугетовна,"[1, 25]",10,1,Депутат Государственной Думы,6,3,0.027906976744186,109,17,27,16,16,24,0,6
5c77c6d8fed91f583dd7a8c8,Шолохов Александр Михайлович,"[2, 26, 31, 39]",11,1,Депутат Государственной Думы,8,2,0.01029601029601,536,51,67,43,28,44,0,8
5c77c6d8fed91f583dd7a8c9,Шперов Павел Валентинович,"[2, 8, 35, 39]",6,3,Депутат Государственной Думы,2,3,0.020408163265306,33,7,38,5,5,8,0,2
5c77c6d8fed91f583dd7a8ca,Шрейдер Виктор Филиппович,"[1, 30]",8,1,Депутат Государственной Думы,22,2,0.013862633900441,1016,107,202,94,54,92,0,22
5c77c6d8fed91f583dd7a8cb,Шубин Игорь Николаевич,"[1, 2, 22, 28, 30]",3,1,Депутат Государственной Думы,2,2,0.011494252873563,124,16,14,6,4,8,0,2
5c77c6d8fed91f583dd7a8cc,Шулепов Евгений Борисович,"[2, 16, 32, 38]",23,1,Депутат Государственной Думы,50,2,0.009124087591241,4198,257,402,209,139,222,3,50
5c77c6d8fed91f583dd7a8cd,Шурчанов Валентин Сергеевич,"[2, 39]",3,2,Депутат Государственной Думы,4,2,0.005215123859192,281,126,317,12,9,18,0,4
5c77c6d8fed91f583dd7a8ce,Шхагошев Адальби Люлевич,"[2, 4, 21, 35, 39]",2,1,Депутат Государственной Думы,17,2,0.014517506404782,811,55,106,73,36,73,0,17
5c77c6d8fed91f583dd7a8cf,Щаблыкин Максим Иванович,"[2, 4, 12, 26]",16,1,Депутат Государственной Думы,10,1,0.005458515283843,1556,74,85,37,26,44,0,10
5c77c6d8fed91f583dd7a8d0,Щапов Михаил Викторович,"[2, 8, 35]",3,2,Депутат Государственной Думы,3,2,0.003807106598985,282,97,375,11,8,12,0,3
5c77c6d8fed91f583dd7a8d1,Эмиргамзаев Абдулгамид Гасанович,"[4, 5, 28, 32]",19,1,Депутат Государственной Думы,14,2,0.005709624796085,2000,90,157,68,51,72,0,14
5c77c6d8fed91f583dd7a8d2,Юмашева Инга Альбертовна,[33],12,1,Депутат Государственной Думы,4,2,0.009685230024213,337,12,20,15,9,16,0,4
5c77c6d8fed91f583dd7a8d3,Юрков Дмитрий Васильевич,"[2, 21, 26, 33]",3,1,Депутат Государственной Думы,23,2,0.01123046875,1531,91,150,87,62,104,0,23
5c77c6d8fed91f583dd7a8d4,Ющенко Александр Андреевич,"[2, 33]",9,2,Депутат Государственной Думы,22,2,0.008187569780424,980,357,1083,102,34,102,7,22
5c77c6d8fed91f583dd7a8d5,Якубовский Александр Владимирович,"[2, 28]",26,1,Депутат Государственной Думы,1,1,0.002155172413793,394,19,17,11,10,12,0,1
5c77c6d8fed91f583dd7a8d6,Ямпольская Елена Александровна,"[31, 33, 39]",11,1,Депутат Государственной Думы,4,2,0.017937219730942,112,25,31,17,14,20,0,4
5c77c6d8fed91f583dd7a8d7,Яровая Ирина Анатольевна,"[2, 35]",0,1,Депутат Государственной Думы,69,2,0.018488745980707,2275,217,407,329,127,308,0,69
5c77c6d8fed91f583dd7a8d8,Ярошук Александр Георгиевич,"[2, 21, 28]",25,1,Депутат Государственной Думы,0,1,0,23,2,1,0,0,0,0,0
5c77c6d8fed91f583dd7a8d9,Яхнюк Сергей Васильевич,"[1, 2, 8]",1,1,Депутат Государственной Думы,8,2,0.006230529595016,1054,43,69,37,29,44,0,8
